"Tabela 4092 - Pessoas de 14 anos ou mais de idade, por condição em relação à força de trabalho e condição de ocupação"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Condição em relação à força de trabalho e condição de ocupação";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Força de trabalho - ocupada";"Paraíba";"4º trimestre 2021";"1391"
"Força de trabalho - ocupada";"Pernambuco";"1º trimestre 2018";"3468"
"Força de trabalho - ocupada";"Pernambuco";"2º trimestre 2018";"3500"
"Força de trabalho - ocupada";"Pernambuco";"3º trimestre 2018";"3508"
"Força de trabalho - ocupada";"Pernambuco";"4º trimestre 2018";"3581"
"Força de trabalho - ocupada";"Pernambuco";"1º trimestre 2019";"3573"
"Força de trabalho - ocupada";"Pernambuco";"2º trimestre 2019";"3553"
"Força de trabalho - ocupada";"Pernambuco";"3º trimestre 2019";"3541"
"Força de trabalho - ocupada";"Pernambuco";"4º trimestre 2019";"3646"
"Força de trabalho - ocupada";"Pernambuco";"1º trimestre 2020";"3517"
"Força de trabalho - ocupada";"Pernambuco";"2º trimestre 2020";"3041"
"Força de trabalho - ocupada";"Pernambuco";"3º trimestre 2020";"2969"
"Força de trabalho - ocupada";"Pernambuco";"4º trimestre 2020";"3221"
"Força de trabalho - ocupada";"Pernambuco";"1º trimestre 2021";"3260"
"Força de trabalho - ocupada";"Pernambuco";"2º trimestre 2021";"3259"
"Força de trabalho - ocupada";"Pernambuco";"3º trimestre 2021";"3374"
"Força de trabalho - ocupada";"Pernambuco";"4º trimestre 2021";"3494"
"Força de trabalho - ocupada";"Alagoas";"1º trimestre 2018";"939"
"Força de trabalho - ocupada";"Alagoas";"2º trimestre 2018";"941"
"Força de trabalho - ocupada";"Alagoas";"3º trimestre 2018";"978"
"Força de trabalho - ocupada";"Alagoas";"4º trimestre 2018";"1000"
"Força de trabalho - ocupada";"Alagoas";"1º trimestre 2019";"1008"
"Força de trabalho - ocupada";"Alagoas";"2º trimestre 2019";"1060"
"Força de trabalho - ocupada";"Alagoas";"3º trimestre 2019";"1042"
"Força de trabalho - ocupada";"Alagoas";"4º trimestre 2019";"1028"
"Força de trabalho - ocupada";"Alagoas";"1º trimestre 2020";"1019"
"Força de trabalho - ocupada";"Alagoas";"2º trimestre 2020";"910"
"Força de trabalho - ocupada";"Alagoas";"3º trimestre 2020";"896"
"Força de trabalho - ocupada";"Alagoas";"4º trimestre 2020";"1014"
"Força de trabalho - ocupada";"Alagoas";"1º trimestre 2021";"1029"
"Força de trabalho - ocupada";"Alagoas";"2º trimestre 2021";"1068"
"Força de trabalho - ocupada";"Alagoas";"3º trimestre 2021";"1124"
"Força de trabalho - ocupada";"Alagoas";"4º trimestre 2021";"1196"
"Força de trabalho - ocupada";"Sergipe";"1º trimestre 2018";"857"
"Força de trabalho - ocupada";"Sergipe";"2º trimestre 2018";"850"
"Força de trabalho - ocupada";"Sergipe";"3º trimestre 2018";"855"
"Força de trabalho - ocupada";"Sergipe";"4º trimestre 2018";"903"
"Força de trabalho - ocupada";"Sergipe";"1º trimestre 2019";"898"
"Força de trabalho - ocupada";"Sergipe";"2º trimestre 2019";"932"
"Força de trabalho - ocupada";"Sergipe";"3º trimestre 2019";"934"
"Força de trabalho - ocupada";"Sergipe";"4º trimestre 2019";"957"
"Força de trabalho - ocupada";"Sergipe";"1º trimestre 2020";"912"
"Força de trabalho - ocupada";"Sergipe";"2º trimestre 2020";"801"
"Força de trabalho - ocupada";"Sergipe";"3º trimestre 2020";"785"
"Força de trabalho - ocupada";"Sergipe";"4º trimestre 2020";"863"
"Força de trabalho - ocupada";"Sergipe";"1º trimestre 2021";"867"
"Força de trabalho - ocupada";"Sergipe";"2º trimestre 2021";"873"
"Força de trabalho - ocupada";"Sergipe";"3º trimestre 2021";"914"
"Força de trabalho - ocupada";"Sergipe";"4º trimestre 2021";"975"
"Força de trabalho - ocupada";"Bahia";"1º trimestre 2018";"5693"
"Força de trabalho - ocupada";"Bahia";"2º trimestre 2018";"5699"
"Força de trabalho - ocupada";"Bahia";"3º trimestre 2018";"5892"
"Força de trabalho - ocupada";"Bahia";"4º trimestre 2018";"5793"
"Força de trabalho - ocupada";"Bahia";"1º trimestre 2019";"5765"
"Força de trabalho - ocupada";"Bahia";"2º trimestre 2019";"5857"
"Força de trabalho - ocupada";"Bahia";"3º trimestre 2019";"5862"
"Força de trabalho - ocupada";"Bahia";"4º trimestre 2019";"5867"
"Força de trabalho - ocupada";"Bahia";"1º trimestre 2020";"5748"
"Força de trabalho - ocupada";"Bahia";"2º trimestre 2020";"4869"
"Força de trabalho - ocupada";"Bahia";"3º trimestre 2020";"4925"
"Força de trabalho - ocupada";"Bahia";"4º trimestre 2020";"5242"
"Força de trabalho - ocupada";"Bahia";"1º trimestre 2021";"5195"
"Força de trabalho - ocupada";"Bahia";"2º trimestre 2021";"5443"
"Força de trabalho - ocupada";"Bahia";"3º trimestre 2021";"5797"
"Força de trabalho - ocupada";"Bahia";"4º trimestre 2021";"5914"
"Força de trabalho - ocupada";"Minas Gerais";"1º trimestre 2018";"9780"
"Força de trabalho - ocupada";"Minas Gerais";"2º trimestre 2018";"10051"
"Força de trabalho - ocupada";"Minas Gerais";"3º trimestre 2018";"10175"
"Força de trabalho - ocupada";"Minas Gerais";"4º trimestre 2018";"10131"
"Força de trabalho - ocupada";"Minas Gerais";"1º trimestre 2019";"9926"
"Força de trabalho - ocupada";"Minas Gerais";"2º trimestre 2019";"10293"
"Força de trabalho - ocupada";"Minas Gerais";"3º trimestre 2019";"10334"
"Força de trabalho - ocupada";"Minas Gerais";"4º trimestre 2019";"10363"
"Força de trabalho - ocupada";"Minas Gerais";"1º trimestre 2020";"9967"
"Força de trabalho - ocupada";"Minas Gerais";"2º trimestre 2020";"9121"
"Força de trabalho - ocupada";"Minas Gerais";"3º trimestre 2020";"9162"
"Força de trabalho - ocupada";"Minas Gerais";"4º trimestre 2020";"9440"
"Força de trabalho - ocupada";"Minas Gerais";"1º trimestre 2021";"9418"
"Força de trabalho - ocupada";"Minas Gerais";"2º trimestre 2021";"9644"
"Força de trabalho - ocupada";"Minas Gerais";"3º trimestre 2021";"10104"
"Força de trabalho - ocupada";"Minas Gerais";"4º trimestre 2021";"10271"
"Força de trabalho - ocupada";"Espírito Santo";"1º trimestre 2018";"1811"
"Força de trabalho - ocupada";"Espírito Santo";"2º trimestre 2018";"1844"
"Força de trabalho - ocupada";"Espírito Santo";"3º trimestre 2018";"1882"
"Força de trabalho - ocupada";"Espírito Santo";"4º trimestre 2018";"1900"
"Força de trabalho - ocupada";"Espírito Santo";"1º trimestre 2019";"1888"
"Força de trabalho - ocupada";"Espírito Santo";"2º trimestre 2019";"1960"
"Força de trabalho - ocupada";"Espírito Santo";"3º trimestre 2019";"1943"
"Força de trabalho - ocupada";"Espírito Santo";"4º trimestre 2019";"1948"
"Força de trabalho - ocupada";"Espírito Santo";"1º trimestre 2020";"1912"
"Força de trabalho - ocupada";"Espírito Santo";"2º trimestre 2020";"1767"
"Força de trabalho - ocupada";"Espírito Santo";"3º trimestre 2020";"1790"
"Força de trabalho - ocupada";"Espírito Santo";"4º trimestre 2020";"1817"
"Força de trabalho - ocupada";"Espírito Santo";"1º trimestre 2021";"1842"
"Força de trabalho - ocupada";"Espírito Santo";"2º trimestre 2021";"1871"
"Força de trabalho - ocupada";"Espírito Santo";"3º trimestre 2021";"1939"
"Força de trabalho - ocupada";"Espírito Santo";"4º trimestre 2021";"1963"
"Força de trabalho - ocupada";"Rio de Janeiro";"1º trimestre 2018";"7487"
"Força de trabalho - ocupada";"Rio de Janeiro";"2º trimestre 2018";"7475"
"Força de trabalho - ocupada";"Rio de Janeiro";"3º trimestre 2018";"7563"
"Força de trabalho - ocupada";"Rio de Janeiro";"4º trimestre 2018";"7589"
"Força de trabalho - ocupada";"Rio de Janeiro";"1º trimestre 2019";"7604"
"Força de trabalho - ocupada";"Rio de Janeiro";"2º trimestre 2019";"7589"
"Força de trabalho - ocupada";"Rio de Janeiro";"3º trimestre 2019";"7685"
"Força de trabalho - ocupada";"Rio de Janeiro";"4º trimestre 2019";"7761"
"Força de trabalho - ocupada";"Rio de Janeiro";"1º trimestre 2020";"7629"
"Força de trabalho - ocupada";"Rio de Janeiro";"2º trimestre 2020";"6701"
"Força de trabalho - ocupada";"Rio de Janeiro";"3º trimestre 2020";"6537"
"Força de trabalho - ocupada";"Rio de Janeiro";"4º trimestre 2020";"6719"
"Força de trabalho - ocupada";"Rio de Janeiro";"1º trimestre 2021";"6751"
"Força de trabalho - ocupada";"Rio de Janeiro";"2º trimestre 2021";"7300"
"Força de trabalho - ocupada";"Rio de Janeiro";"3º trimestre 2021";"7519"
"Força de trabalho - ocupada";"Rio de Janeiro";"4º trimestre 2021";"7767"
"Força de trabalho - ocupada";"São Paulo";"1º trimestre 2018";"21826"
"Força de trabalho - ocupada";"São Paulo";"2º trimestre 2018";"21915"
"Força de trabalho - ocupada";"São Paulo";"3º trimestre 2018";"22234"
"Força de trabalho - ocupada";"São Paulo";"4º trimestre 2018";"22390"
"Força de trabalho - ocupada";"São Paulo";"1º trimestre 2019";"22322"
"Força de trabalho - ocupada";"São Paulo";"2º trimestre 2019";"22696"
"Força de trabalho - ocupada";"São Paulo";"3º trimestre 2019";"22918"
"Força de trabalho - ocupada";"São Paulo";"4º trimestre 2019";"23014"
"Força de trabalho - ocupada";"São Paulo";"1º trimestre 2020";"22502"
"Força de trabalho - ocupada";"São Paulo";"2º trimestre 2020";"20071"
"Força de trabalho - ocupada";"São Paulo";"3º trimestre 2020";"19798"
"Força de trabalho - ocupada";"São Paulo";"4º trimestre 2020";"20657"
"Força de trabalho - ocupada";"São Paulo";"1º trimestre 2021";"20840"
"Força de trabalho - ocupada";"São Paulo";"2º trimestre 2021";"21397"
"Força de trabalho - ocupada";"São Paulo";"3º trimestre 2021";"22188"
"Força de trabalho - ocupada";"São Paulo";"4º trimestre 2021";"23142"
"Força de trabalho - ocupada";"Paraná";"1º trimestre 2018";"5433"
"Força de trabalho - ocupada";"Paraná";"2º trimestre 2018";"5451"
"Força de trabalho - ocupada";"Paraná";"3º trimestre 2018";"5511"
"Força de trabalho - ocupada";"Paraná";"4º trimestre 2018";"5593"
"Força de trabalho - ocupada";"Paraná";"1º trimestre 2019";"5548"
"Força de trabalho - ocupada";"Paraná";"2º trimestre 2019";"5576"
"Força de trabalho - ocupada";"Paraná";"3º trimestre 2019";"5613"
"Força de trabalho - ocupada";"Paraná";"4º trimestre 2019";"5671"
"Força de trabalho - ocupada";"Paraná";"1º trimestre 2020";"5598"
"Força de trabalho - ocupada";"Paraná";"2º trimestre 2020";"5422"
"Força de trabalho - ocupada";"Paraná";"3º trimestre 2020";"5234"
"Força de trabalho - ocupada";"Paraná";"4º trimestre 2020";"5432"
"Força de trabalho - ocupada";"Paraná";"1º trimestre 2021";"5486"
"Força de trabalho - ocupada";"Paraná";"2º trimestre 2021";"5355"
"Força de trabalho - ocupada";"Paraná";"3º trimestre 2021";"5589"
"Força de trabalho - ocupada";"Paraná";"4º trimestre 2021";"5814"
"Força de trabalho - ocupada";"Santa Catarina";"1º trimestre 2018";"3617"
"Força de trabalho - ocupada";"Santa Catarina";"2º trimestre 2018";"3600"
"Força de trabalho - ocupada";"Santa Catarina";"3º trimestre 2018";"3645"
"Força de trabalho - ocupada";"Santa Catarina";"4º trimestre 2018";"3689"
"Força de trabalho - ocupada";"Santa Catarina";"1º trimestre 2019";"3635"
"Força de trabalho - ocupada";"Santa Catarina";"2º trimestre 2019";"3677"
"Força de trabalho - ocupada";"Santa Catarina";"3º trimestre 2019";"3695"
"Força de trabalho - ocupada";"Santa Catarina";"4º trimestre 2019";"3767"
"Força de trabalho - ocupada";"Santa Catarina";"1º trimestre 2020";"3674"
"Força de trabalho - ocupada";"Santa Catarina";"2º trimestre 2020";"3538"
"Força de trabalho - ocupada";"Santa Catarina";"3º trimestre 2020";"3531"
"Força de trabalho - ocupada";"Santa Catarina";"4º trimestre 2020";"3585"
"Força de trabalho - ocupada";"Santa Catarina";"1º trimestre 2021";"3552"
"Força de trabalho - ocupada";"Santa Catarina";"2º trimestre 2021";"3669"
"Força de trabalho - ocupada";"Santa Catarina";"3º trimestre 2021";"3717"
"Força de trabalho - ocupada";"Santa Catarina";"4º trimestre 2021";"3815"
"Força de trabalho - ocupada";"Rio Grande do Sul";"1º trimestre 2018";"5536"
"Força de trabalho - ocupada";"Rio Grande do Sul";"2º trimestre 2018";"5500"
"Força de trabalho - ocupada";"Rio Grande do Sul";"3º trimestre 2018";"5533"
"Força de trabalho - ocupada";"Rio Grande do Sul";"4º trimestre 2018";"5664"
"Força de trabalho - ocupada";"Rio Grande do Sul";"1º trimestre 2019";"5668"
"Força de trabalho - ocupada";"Rio Grande do Sul";"2º trimestre 2019";"5714"
"Força de trabalho - ocupada";"Rio Grande do Sul";"3º trimestre 2019";"5657"
"Força de trabalho - ocupada";"Rio Grande do Sul";"4º trimestre 2019";"5819"
"Força de trabalho - ocupada";"Rio Grande do Sul";"1º trimestre 2020";"5668"
"Força de trabalho - ocupada";"Rio Grande do Sul";"2º trimestre 2020";"5244"
"Força de trabalho - ocupada";"Rio Grande do Sul";"3º trimestre 2020";"5111"
"Força de trabalho - ocupada";"Rio Grande do Sul";"4º trimestre 2020";"5356"
"Força de trabalho - ocupada";"Rio Grande do Sul";"1º trimestre 2021";"5359"
"Força de trabalho - ocupada";"Rio Grande do Sul";"2º trimestre 2021";"5490"
"Força de trabalho - ocupada";"Rio Grande do Sul";"3º trimestre 2021";"5573"
"Força de trabalho - ocupada";"Rio Grande do Sul";"4º trimestre 2021";"5673"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"1º trimestre 2018";"1287"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"2º trimestre 2018";"1294"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"3º trimestre 2018";"1327"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"4º trimestre 2018";"1337"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"1º trimestre 2019";"1295"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"2º trimestre 2019";"1338"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"3º trimestre 2019";"1329"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"4º trimestre 2019";"1336"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"1º trimestre 2020";"1295"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"2º trimestre 2020";"1172"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"3º trimestre 2020";"1171"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"4º trimestre 2020";"1225"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"1º trimestre 2021";"1233"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"2º trimestre 2021";"1267"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"3º trimestre 2021";"1298"
"Força de trabalho - ocupada";"Mato Grosso do Sul";"4º trimestre 2021";"1343"
"Força de trabalho - ocupada";"Mato Grosso";"1º trimestre 2018";"1568"
"Força de trabalho - ocupada";"Mato Grosso";"2º trimestre 2018";"1606"
"Força de trabalho - ocupada";"Mato Grosso";"3º trimestre 2018";"1652"
"Força de trabalho - ocupada";"Mato Grosso";"4º trimestre 2018";"1672"
"Força de trabalho - ocupada";"Mato Grosso";"1º trimestre 2019";"1656"
"Força de trabalho - ocupada";"Mato Grosso";"2º trimestre 2019";"1699"
"Força de trabalho - ocupada";"Mato Grosso";"3º trimestre 2019";"1707"
"Força de trabalho - ocupada";"Mato Grosso";"4º trimestre 2019";"1703"
"Força de trabalho - ocupada";"Mato Grosso";"1º trimestre 2020";"1684"
"Força de trabalho - ocupada";"Mato Grosso";"2º trimestre 2020";"1597"
"Força de trabalho - ocupada";"Mato Grosso";"3º trimestre 2020";"1599"
"Força de trabalho - ocupada";"Mato Grosso";"4º trimestre 2020";"1653"
"Força de trabalho - ocupada";"Mato Grosso";"1º trimestre 2021";"1627"
"Força de trabalho - ocupada";"Mato Grosso";"2º trimestre 2021";"1641"
"Força de trabalho - ocupada";"Mato Grosso";"3º trimestre 2021";"1687"
"Força de trabalho - ocupada";"Mato Grosso";"4º trimestre 2021";"1711"
"Força de trabalho - ocupada";"Goiás";"1º trimestre 2018";"3292"
"Força de trabalho - ocupada";"Goiás";"2º trimestre 2018";"3320"
"Força de trabalho - ocupada";"Goiás";"3º trimestre 2018";"3343"
"Força de trabalho - ocupada";"Goiás";"4º trimestre 2018";"3384"
"Força de trabalho - ocupada";"Goiás";"1º trimestre 2019";"3344"
"Força de trabalho - ocupada";"Goiás";"2º trimestre 2019";"3366"
"Força de trabalho - ocupada";"Goiás";"3º trimestre 2019";"3426"
"Força de trabalho - ocupada";"Goiás";"4º trimestre 2019";"3431"
"Força de trabalho - ocupada";"Goiás";"1º trimestre 2020";"3331"
"Força de trabalho - ocupada";"Goiás";"2º trimestre 2020";"3055"
"Força de trabalho - ocupada";"Goiás";"3º trimestre 2020";"3062"
"Força de trabalho - ocupada";"Goiás";"4º trimestre 2020";"3125"
"Força de trabalho - ocupada";"Goiás";"1º trimestre 2021";"3137"
"Força de trabalho - ocupada";"Goiás";"2º trimestre 2021";"3208"
"Força de trabalho - ocupada";"Goiás";"3º trimestre 2021";"3369"
"Força de trabalho - ocupada";"Goiás";"4º trimestre 2021";"3460"
"Força de trabalho - ocupada";"Distrito Federal";"1º trimestre 2018";"1388"
"Força de trabalho - ocupada";"Distrito Federal";"2º trimestre 2018";"1427"
"Força de trabalho - ocupada";"Distrito Federal";"3º trimestre 2018";"1449"
"Força de trabalho - ocupada";"Distrito Federal";"4º trimestre 2018";"1461"
"Força de trabalho - ocupada";"Distrito Federal";"1º trimestre 2019";"1438"
"Força de trabalho - ocupada";"Distrito Federal";"2º trimestre 2019";"1462"
"Força de trabalho - ocupada";"Distrito Federal";"3º trimestre 2019";"1472"
"Força de trabalho - ocupada";"Distrito Federal";"4º trimestre 2019";"1463"
"Força de trabalho - ocupada";"Distrito Federal";"1º trimestre 2020";"1449"
"Força de trabalho - ocupada";"Distrito Federal";"2º trimestre 2020";"1310"
"Força de trabalho - ocupada";"Distrito Federal";"3º trimestre 2020";"1333"
"Força de trabalho - ocupada";"Distrito Federal";"4º trimestre 2020";"1389"
"Força de trabalho - ocupada";"Distrito Federal";"1º trimestre 2021";"1410"
"Força de trabalho - ocupada";"Distrito Federal";"2º trimestre 2021";"1407"
"Força de trabalho - ocupada";"Distrito Federal";"3º trimestre 2021";"1454"
"Força de trabalho - ocupada";"Distrito Federal";"4º trimestre 2021";"1524"
"Força de trabalho - desocupada";"Brasil";"1º trimestre 2018";"13872"
"Força de trabalho - desocupada";"Brasil";"2º trimestre 2018";"13148"
"Força de trabalho - desocupada";"Brasil";"3º trimestre 2018";"12694"
"Força de trabalho - desocupada";"Brasil";"4º trimestre 2018";"12413"
"Força de trabalho - desocupada";"Brasil";"1º trimestre 2019";"13651"
"Força de trabalho - desocupada";"Brasil";"2º trimestre 2019";"13011"
"Força de trabalho - desocupada";"Brasil";"3º trimestre 2019";"12798"
"Força de trabalho - desocupada";"Brasil";"4º trimestre 2019";"11903"
"Força de trabalho - desocupada";"Brasil";"1º trimestre 2020";"13148"
"Força de trabalho - desocupada";"Brasil";"2º trimestre 2020";"13228"
"Força de trabalho - desocupada";"Brasil";"3º trimestre 2020";"14598"
"Força de trabalho - desocupada";"Brasil";"4º trimestre 2020";"14412"
"Força de trabalho - desocupada";"Brasil";"1º trimestre 2021";"15257"
"Força de trabalho - desocupada";"Brasil";"2º trimestre 2021";"14832"
"Força de trabalho - desocupada";"Brasil";"3º trimestre 2021";"13453"
"Força de trabalho - desocupada";"Brasil";"4º trimestre 2021";"12011"
"Força de trabalho - desocupada";"Norte";"1º trimestre 2018";"1043"
"Força de trabalho - desocupada";"Norte";"2º trimestre 2018";"994"
"Força de trabalho - desocupada";"Norte";"3º trimestre 2018";"962"
"Força de trabalho - desocupada";"Norte";"4º trimestre 2018";"981"
"Força de trabalho - desocupada";"Norte";"1º trimestre 2019";"1092"
"Força de trabalho - desocupada";"Norte";"2º trimestre 2019";"999"
"Força de trabalho - desocupada";"Norte";"3º trimestre 2019";"1003"
"Força de trabalho - desocupada";"Norte";"4º trimestre 2019";"897"
"Força de trabalho - desocupada";"Norte";"1º trimestre 2020";"1011"
"Força de trabalho - desocupada";"Norte";"2º trimestre 2020";"926"
"Força de trabalho - desocupada";"Norte";"3º trimestre 2020";"1060"
"Força de trabalho - desocupada";"Norte";"4º trimestre 2020";"1041"
"Força de trabalho - desocupada";"Norte";"1º trimestre 2021";"1236"
"Força de trabalho - desocupada";"Norte";"2º trimestre 2021";"1192"
"Força de trabalho - desocupada";"Norte";"3º trimestre 2021";"1041"
"Força de trabalho - desocupada";"Norte";"4º trimestre 2021";"986"
"Força de trabalho - desocupada";"Nordeste";"1º trimestre 2018";"3973"
"Força de trabalho - desocupada";"Nordeste";"2º trimestre 2018";"3688"
"Força de trabalho - desocupada";"Nordeste";"3º trimestre 2018";"3647"
"Força de trabalho - desocupada";"Nordeste";"4º trimestre 2018";"3642"
"Força de trabalho - desocupada";"Nordeste";"1º trimestre 2019";"3859"
"Força de trabalho - desocupada";"Nordeste";"2º trimestre 2019";"3716"
"Força de trabalho - desocupada";"Nordeste";"3º trimestre 2019";"3684"
"Força de trabalho - desocupada";"Nordeste";"4º trimestre 2019";"3468"
"Força de trabalho - desocupada";"Nordeste";"1º trimestre 2020";"3941"
"Força de trabalho - desocupada";"Nordeste";"2º trimestre 2020";"3617"
"Força de trabalho - desocupada";"Nordeste";"3º trimestre 2020";"4082"
"Força de trabalho - desocupada";"Nordeste";"4º trimestre 2020";"4178"
"Força de trabalho - desocupada";"Nordeste";"1º trimestre 2021";"4530"
"Força de trabalho - desocupada";"Nordeste";"2º trimestre 2021";"4493"
"Força de trabalho - desocupada";"Nordeste";"3º trimestre 2021";"4088"
"Força de trabalho - desocupada";"Nordeste";"4º trimestre 2021";"3710"
"Força de trabalho - desocupada";"Sudeste";"1º trimestre 2018";"6610"
"Força de trabalho - desocupada";"Sudeste";"2º trimestre 2018";"6355"
"Força de trabalho - desocupada";"Sudeste";"3º trimestre 2018";"6050"
"Força de trabalho - desocupada";"Sudeste";"4º trimestre 2018";"5873"
"Força de trabalho - desocupada";"Sudeste";"1º trimestre 2019";"6421"
"Força de trabalho - desocupada";"Sudeste";"2º trimestre 2019";"6072"
"Força de trabalho - desocupada";"Sudeste";"3º trimestre 2019";"5866"
"Força de trabalho - desocupada";"Sudeste";"4º trimestre 2019";"5587"
"Força de trabalho - desocupada";"Sudeste";"1º trimestre 2020";"6027"
"Força de trabalho - desocupada";"Sudeste";"2º trimestre 2020";"6236"
"Força de trabalho - desocupada";"Sudeste";"3º trimestre 2020";"6920"
"Força de trabalho - desocupada";"Sudeste";"4º trimestre 2020";"6856"
"Força de trabalho - desocupada";"Sudeste";"1º trimestre 2021";"7030"
"Força de trabalho - desocupada";"Sudeste";"2º trimestre 2021";"6861"
"Força de trabalho - desocupada";"Sudeste";"3º trimestre 2021";"6272"
"Força de trabalho - desocupada";"Sudeste";"4º trimestre 2021";"5466"
"Força de trabalho - desocupada";"Sul";"1º trimestre 2018";"1355"
"Força de trabalho - desocupada";"Sul";"2º trimestre 2018";"1304"
"Força de trabalho - desocupada";"Sul";"3º trimestre 2018";"1269"
"Força de trabalho - desocupada";"Sul";"4º trimestre 2018";"1187"
"Força de trabalho - desocupada";"Sul";"1º trimestre 2019";"1332"
"Força de trabalho - desocupada";"Sul";"2º trimestre 2019";"1315"
"Força de trabalho - desocupada";"Sul";"3º trimestre 2019";"1341"
"Força de trabalho - desocupada";"Sul";"4º trimestre 2019";"1122"
"Força de trabalho - desocupada";"Sul";"1º trimestre 2020";"1238"
"Força de trabalho - desocupada";"Sul";"2º trimestre 2020";"1414"
"Força de trabalho - desocupada";"Sul";"3º trimestre 2020";"1470"
"Força de trabalho - desocupada";"Sul";"4º trimestre 2020";"1319"
"Força de trabalho - desocupada";"Sul";"1º trimestre 2021";"1378"
"Força de trabalho - desocupada";"Sul";"2º trimestre 2021";"1293"
"Força de trabalho - desocupada";"Sul";"3º trimestre 2021";"1203"
"Força de trabalho - desocupada";"Sul";"4º trimestre 2021";"1107"
"Força de trabalho - desocupada";"Centro-Oeste";"1º trimestre 2018";"892"
"Força de trabalho - desocupada";"Centro-Oeste";"2º trimestre 2018";"807"
"Força de trabalho - desocupada";"Centro-Oeste";"3º trimestre 2018";"766"
"Força de trabalho - desocupada";"Centro-Oeste";"4º trimestre 2018";"731"
"Força de trabalho - desocupada";"Centro-Oeste";"1º trimestre 2019";"949"
"Força de trabalho - desocupada";"Centro-Oeste";"2º trimestre 2019";"910"
"Força de trabalho - desocupada";"Centro-Oeste";"3º trimestre 2019";"904"
"Força de trabalho - desocupada";"Centro-Oeste";"4º trimestre 2019";"828"
"Força de trabalho - desocupada";"Centro-Oeste";"1º trimestre 2020";"930"
"Força de trabalho - desocupada";"Centro-Oeste";"2º trimestre 2020";"1035"
"Força de trabalho - desocupada";"Centro-Oeste";"3º trimestre 2020";"1065"
"Força de trabalho - desocupada";"Centro-Oeste";"4º trimestre 2020";"1017"
"Força de trabalho - desocupada";"Centro-Oeste";"1º trimestre 2021";"1083"
"Força de trabalho - desocupada";"Centro-Oeste";"2º trimestre 2021";"992"
"Força de trabalho - desocupada";"Centro-Oeste";"3º trimestre 2021";"849"
"Força de trabalho - desocupada";"Centro-Oeste";"4º trimestre 2021";"742"
"Força de trabalho - desocupada";"Rondônia";"1º trimestre 2018";"90"
"Força de trabalho - desocupada";"Rondônia";"2º trimestre 2018";"69"
"Força de trabalho - desocupada";"Rondônia";"3º trimestre 2018";"77"
"Força de trabalho - desocupada";"Rondônia";"4º trimestre 2018";"80"
"Força de trabalho - desocupada";"Rondônia";"1º trimestre 2019";"79"
"Força de trabalho - desocupada";"Rondônia";"2º trimestre 2019";"60"
"Força de trabalho - desocupada";"Rondônia";"3º trimestre 2019";"74"
"Força de trabalho - desocupada";"Rondônia";"4º trimestre 2019";"72"
"Força de trabalho - desocupada";"Rondônia";"1º trimestre 2020";"76"
"Força de trabalho - desocupada";"Rondônia";"2º trimestre 2020";"91"
"Força de trabalho - desocupada";"Rondônia";"3º trimestre 2020";"96"
"Força de trabalho - desocupada";"Rondônia";"4º trimestre 2020";"94"
"Força de trabalho - desocupada";"Rondônia";"1º trimestre 2021";"96"
"Força de trabalho - desocupada";"Rondônia";"2º trimestre 2021";"86"
"Força de trabalho - desocupada";"Rondônia";"3º trimestre 2021";"70"
"Força de trabalho - desocupada";"Rondônia";"4º trimestre 2021";"63"
"Força de trabalho - desocupada";"Acre";"1º trimestre 2018";"53"
"Força de trabalho - desocupada";"Acre";"2º trimestre 2018";"48"
"Força de trabalho - desocupada";"Acre";"3º trimestre 2018";"48"
"Força de trabalho - desocupada";"Acre";"4º trimestre 2018";"49"
"Força de trabalho - desocupada";"Acre";"1º trimestre 2019";"65"
"Força de trabalho - desocupada";"Acre";"2º trimestre 2019";"49"
"Força de trabalho - desocupada";"Acre";"3º trimestre 2019";"47"
"Força de trabalho - desocupada";"Acre";"4º trimestre 2019";"49"
"Força de trabalho - desocupada";"Acre";"1º trimestre 2020";"47"
"Força de trabalho - desocupada";"Acre";"2º trimestre 2020";"49"
"Força de trabalho - desocupada";"Acre";"3º trimestre 2020";"58"
"Força de trabalho - desocupada";"Acre";"4º trimestre 2020";"57"
"Força de trabalho - desocupada";"Acre";"1º trimestre 2021";"66"
"Força de trabalho - desocupada";"Acre";"2º trimestre 2021";"64"
"Força de trabalho - desocupada";"Acre";"3º trimestre 2021";"52"
